sample-id	Location	Site layer	Site_layer	Site	Phasic_community	Type	Depth_group_new	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate	Remove
SRR5312016	Panama-North	Mixed forest 16-30cm		4	Mixed forest	Freshwater	16-30cm		24-30cm		3.7						
SRR5312017	Panama-North	Mixed forest 4-8cm		3	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312018	Panama-North	Mixed forest 4-8cm		3	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312019	Panama-North	Mixed forest 4-8cm		3	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312020	Panama-North	Mixed forest 16-30cm		3	Mixed forest	Freshwater	16-30cm		24-30cm		3.9						
SRR5312021	Panama-North	Mixed forest 4-8cm		3	Mixed forest	Freshwater	4-8cm		4-8cm		3.9						
SRR5312022	Panama-North	Mixed forest 16-30cm		3	Mixed forest	Freshwater	16-30cm		24-30cm		3.9						
SRR5312023	Panama-North	Raphia 4-8cm		2	Raphia	Freshwater	4-8cm		4-8cm		3.8						
SRR5312024	Panama-North	Raphia 4-8cm		2	Raphia	Freshwater	4-8cm		4-8cm		3.8						
SRR5312025	Panama-North	Raphia 4-8cm		2	Raphia	Freshwater	4-8cm		4-8cm		3.8						
SRR5312026	Panama-North	Raphia 16-30cm		2	Raphia	Freshwater	16-30cm		24-30cm		3.8						
SRR5312027	Panama-North	Raphia 4-8cm		2	Raphia	Freshwater	4-8cm		4-8cm		3.8						
SRR5312028	Panama-North	Raphia 16-30cm		2	Raphia	Freshwater	16-30cm		24-30cm		3.8						
SRR5312029	Panama-North	Raphia 4-8cm		1	Raphia	Freshwater	4-8cm		4-8cm		3.6						
SRR5312030	Panama-North	Raphia 4-8cm		1	Raphia	Freshwater	4-8cm		4-8cm		3.6						
SRR5312031	Panama-North	Raphia 4-8cm		1	Raphia	Freshwater	4-8cm		4-8cm		3.6						
SRR5312032	Panama-North	Raphia 16-30cm		1	Raphia	Freshwater	16-30cm		24-30cm		3.6						
SRR5312033	Panama-North	Raphia 4-8cm		1	Raphia	Freshwater	4-8cm		4-8cm		3.6						
SRR5312034	Panama-North	Raphia 16-30cm		1	Raphia	Freshwater	16-30cm		24-30cm		3.6						
ERR2094394	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094395	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094396	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094397	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094398	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094399	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094400	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094401	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094402	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094403	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094404	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094405	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094406	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094407	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094408	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094409	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094410	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094411	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094412	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094413	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094414	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094415	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094416	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094417	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094418	Malaysia-Selangor	Eleiodoxa conferta 0-4cm		Malaysia	Eleiodoxa conferta	Freshwater	0-4cm	0			3.41						
ERR2094419	Malaysia-Selangor	Eleiodoxa conferta 31-60cm		Malaysia	Eleiodoxa conferta	Freshwater	31-60cm	45			3.29						
ERR2094420	Malaysia-Selangor	Eleiodoxa conferta 90-120cm		Malaysia	Eleiodoxa conferta	Freshwater	90-120cm	90			3.35						
ERR2094421	Malaysia-Selangor	Koompassia malaccensis 0-4cm		Malaysia	Koompassia malaccensis	Freshwater	0-4cm	0									
ERR2094422	Malaysia-Selangor	Koompassia malaccensis 31-60cm		Malaysia	Koompassia malaccensis	Freshwater	31-60cm	45									
ERR2094423	Malaysia-Selangor	Koompassia malaccensis 90-120cm		Malaysia	Koompassia malaccensis	Freshwater	90-120cm	90			3.43						
ERR2094424	Malaysia-Selangor	Koompassia malaccensis 0-4cm		Malaysia	Koompassia malaccensis	Freshwater	0-4cm	0			3.62						
ERR2094425	Malaysia-Selangor	Koompassia malaccensis 31-60cm		Malaysia	Koompassia malaccensis	Freshwater	31-60cm	45			3.62						
ERR2094426	Malaysia-Selangor	Koompassia malaccensis 90-120cm		Malaysia	Koompassia malaccensis	Freshwater	90-120cm	90			3.43						
ERR2094427	Malaysia-Selangor	Koompassia malaccensis 0-4cm		Malaysia	Koompassia malaccensis	Freshwater	0-4cm	0			3.62						
ERR2094428	Malaysia-Selangor	Koompassia malaccensis 31-60cm		Malaysia	Koompassia malaccensis	Freshwater	31-60cm	45			3.62						
ERR2094429	Malaysia-Selangor	Koompassia malaccensis 90-120cm		Malaysia	Koompassia malaccensis	Freshwater	90-120cm	90			3.43						
ERR2094430	Malaysia-Selangor	Koompassia malaccensis 0-4cm		Malaysia	Koompassia malaccensis	Freshwater	0-4cm	0			3.62						
ERR2094431	Malaysia-Selangor	Koompassia malaccensis 31-60cm		Malaysia	Koompassia malaccensis	Freshwater	31-60cm	45			3.62						
ERR2094432	Malaysia-Selangor	Koompassia malaccensis 90-120cm		Malaysia	Koompassia malaccensis	Freshwater	90-120cm	90			3.43						
ERR2094433	Malaysia-Selangor	Koompassia malaccensis 0-4cm		Malaysia	Koompassia malaccensis	Freshwater	0-4cm	0			3.62						
ERR2094434	Malaysia-Selangor	Koompassia malaccensis 31-60cm		Malaysia	Koompassia malaccensis	Freshwater	31-60cm	45			3.62						
ERR2094435	Malaysia-Selangor	Koompassia malaccensis 90-120cm		Malaysia	Koompassia malaccensis	Freshwater	90-120cm	90			3.43						
ERR2094436	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094437	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094438	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094439	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094440	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094441	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094442	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094443	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094444	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094445	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094446	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094447	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094448	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094449	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094450	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
